-2.082,9.114,5.621
-2.275,9.166,5.723
-2.469,9.21,5.826
-2.665,9.247,5.931
-2.863,9.276,6.037
-3.061,9.297,6.145
-3.26,9.312,6.254
-3.46,9.32,6.364
-3.659,9.323,6.476
-3.859,9.319,6.594
